Song Names,Disc Number
" Love Hurts y 
 ",21
 Suite Madame Blue,21
 Lights,21
 Workin’ For The Weekend,21
" VY y
 Sm",21
 A Matter Of Trust,21
 Love Stinks,21
" Turn The Page dé 
ae",21
 Rock Me On The Water,21
" Babe Peg
SS",21
 Dy‘er Ma’ker,21
" A Man Ill Never Be se
ae",21
" Ready For Love  o
SNS  eel
ee
————
 
 we
",21
,22
 Thats Amore,22
 It’s Allin The Game,22
 TheGood Life,22
 Route,22
"  f
NY Sexs Danny Boy",22
 Blue Velvet,22
" Little Ol’ Wine DrinkerMe 8Biue Moon “ 
WA CS
AX CE",22
 This is AU  Ask,22
 High Hopes,22
" Crazy He Calis Me ty 
 Ny",22
,22
" Cant Give You Anything But Love AY
Nene",22
 The Candy Man,22
" Call Me Irresponsibte   
te ",22
" Count Your Blessings  ° ZJ F 4
WESSEL",22
" Rags To Riches  f’S
      ve eu P r
SF GP man ae Pf S g
oS — H 
——  
—————
",22
,23
 Shos Like The Wind,23
 After All,23
" Reflections Of My Life Ky
—  Q",23
 Soonor Or Later  Garden Party,23
" Cimbo Rock   OR 
” oo eS",23
 Saving All My Love For You,23
" Alone Again Naturally  LYS 
”  NY",23
 Carolina in My Mind,23
 Aint No Way To Treat A Lady,23
 When im,23
" Vy y
NA SS",23
 Crying,23
 Question,23
 and,23
"   ti
  iN",23
 Blue Monday,23
" Just Don’t Wanna Be Lonely a
 S ’",23
 Saturday Night,23
" The Twist fy
RSQ",23
" Tle A Yellow Ribbon BS
SEE",23
" Whats New Pussycat o
Ze en",23
" Whos Sorry Now
—  es epee Ce Ii fo
 ee SS Ee
",23
,24
 Burning Down The House Don’t Do Me Like That,24
" Light My Fire   
— a",24
 Journey To The Center Of Your Mind,24
 Loékin Out My Back Door ,24
" ff
iN YQ ",24
 Only The Good Die Young,24
" Short People  VA
NAYS",24
 Space Oddity,24
" Spill The Wine  iy y
IN Ne",24
" They Don’t Write Em Like That Anymore J
So et",24
 Too Rolling Stoned,24
" Werewolves Of London Ky f
AN ",24
 Whos Cryin Now,24
" Piano Man  A
NSS",24
" Green River   CLA
 s § Still Got The Blues For You
SS SS SSE SSO es gE A
as ne
tt SSS ———— —
",24
,25
" gv OD
SS SS EZ
ene 
 — a
",25
,26
"  a i
TT Meee set",26
" i Qo  core  
H i aan “oe AN AN ee  J  Coy H i
i z ar ais a  y I
ah vo    SS     aH
 inh   Seg  a  po
4 is Pag eet op
¥ aS  Son Mesa wo mee “ wt oo  Y
 Tt 
  ay Hey Tonight 21m A Man 31Cant Drive",26
,26
" Keep On Loving You A fj
LN SSS",26
 The Letter,26
 Wont Back Down,26
" Fat Bottomed Girls “y of
WAY ",26
 Fame,26
 Dream Weaver,26
" Bang The Drum All Day A uy
“SNK SS",26
 Workin’ For A Livin’,26
" Whole Lotta Love PG
SN SS “",26
 People Are Strange ojo,26
" 
 SSS",26
" Born Under a Bad Sign  f  “a
  ge   ",26
" Animal sy o aa
i  oe me  as WEL  a
en SS PEL EIEZ al
 SSS eo —
",26
,27
  Just Want To Celebrate,27
" Another Brick in The Wall  yy
XY i",27
 Back Door Man,27
 Big Ten inch Record,27
" Bad Moon Rising Vy Vi
N RN  Get Together",27
 Blues Power,27
" Heart Of Gotd b J
XQ Ck",27
" Can See For Miles 10Money  ° Vey
AK Ga",27
 Wholl Stop The Rain,27
 My Generation ZB,27
" 4
RRS",27
 Radar Love,27
" Roadhouse Blues  Oo’ LA
wy ",27
" Smoking In The Boys Room  ya
 — ee  — a WEL os sp
",27
